step,value,wall_time
1000,807.0,1729550382.085627
1500,807.0,1729550395.623973
2000,807.0,1729550409.724688
2500,807.0,1729550423.2865434
3000,807.0,1729550436.7670643
3500,807.0,1729550450.3167765
4000,1270.3333740234375,1729550465.1148782
4500,1270.3333740234375,1729550478.7187672
5000,1153.75,1729550492.2846806
5500,1025.5999755859375,1729550505.8890684
6000,1025.5999755859375,1729550519.2893846
6500,1066.6666259765625,1729550532.9080997
7000,1066.6666259765625,1729550546.5724578
7500,1066.6666259765625,1729550560.2695503
8000,1094.4285888671875,1729550573.8812637
8500,1017.625,1729550589.6850462
9000,1017.625,1729550603.988531
9500,1017.625,1729550617.7920263
10000,1017.625,1729550631.1420817
10500,1017.625,1729550644.937532
11000,1218.111083984375,1729550658.4792182
11500,1147.800048828125,1729550672.3803995
12000,1147.800048828125,1729550685.6093724
12500,1147.800048828125,1729550698.820052
13000,1147.800048828125,1729550712.4200554
13500,1147.800048828125,1729550725.7131758
14000,1147.800048828125,1729550739.04735
14500,1289.727294921875,1729550752.4488113
15000,1289.727294921875,1729550765.991249
15500,1262.5833740234375,1729550779.4990249
16000,1262.5833740234375,1729550792.7438767
16500,1249.5384521484375,1729550806.2307553
17000,1249.5384521484375,1729550819.869328
17500,1238.142822265625,1729550833.8275006
18000,1238.142822265625,1729550847.0018785
18500,1209.066650390625,1729550860.7306373
19000,1209.066650390625,1729550873.9634697
19500,1209.066650390625,1729550887.0083737
20000,1219.625,1729550900.1999257
20500,1219.625,1729550913.237245
21000,1219.625,1729550926.24641
21500,1219.625,1729550939.3301253
22000,1219.625,1729550952.3775485
22500,1219.625,1729550965.4312327
23000,1219.625,1729550978.476764
23500,1219.625,1729550991.6011195
24000,1219.625,1729551004.847047
24500,1415.176513671875,1729551019.1471071
25000,1415.176513671875,1729551032.8477726
25500,1415.176513671875,1729551046.106317
26000,1415.176513671875,1729551059.4021525
26500,1415.176513671875,1729551073.0436134
27000,1415.176513671875,1729551086.3153763
27500,1415.176513671875,1729551099.6114452
28000,1415.176513671875,1729551113.0027661
28500,1415.176513671875,1729551126.2060199
29000,1589.5555419921875,1729551139.512668
29500,1533.1578369140625,1729551152.7986014
30000,1482.449951171875,1729551166.1350856
30500,1482.449951171875,1729551179.2436626
31000,1464.0,1729551193.0213306
31500,1464.0,1729551206.341393
32000,1447.272705078125,1729551219.7787771
32500,1447.272705078125,1729551233.09418
33000,1419.0,1729551246.596517
33500,1419.0,1729551260.1414878
34000,1405.4583740234375,1729551273.7855601
34500,1405.4583740234375,1729551287.1049116
35000,1392.6800537109375,1729551300.5518003
35500,1392.6800537109375,1729551314.1158364
36000,1392.6800537109375,1729551327.2177632
36500,1392.6800537109375,1729551340.3477159
37000,1392.6800537109375,1729551353.454457
37500,1392.6800537109375,1729551366.78575
38000,1392.6800537109375,1729551380.2037222
38500,1464.8077392578125,1729551393.6805997
39000,1429.888916015625,1729551407.0838797
39500,1429.888916015625,1729551420.229334
40000,1429.888916015625,1729551433.4353433
40500,1429.888916015625,1729551446.6293778
41000,1429.888916015625,1729551459.8813372
41500,1479.5357666015625,1729551473.280767
42000,1441.5172119140625,1729551486.779254
42500,1441.5172119140625,1729551500.1699467
43000,1429.6666259765625,1729551513.6482365
43500,1429.6666259765625,1729551526.9238722
44000,1429.6666259765625,1729551540.0819418
44500,1429.6666259765625,1729551553.445336
45000,1429.6666259765625,1729551566.9323835
45500,1429.6666259765625,1729551580.0848994
46000,1483.709716796875,1729551593.3892832
46500,1483.709716796875,1729551606.6724188
47000,1483.709716796875,1729551619.9091637
47500,1480.53125,1729551633.2781181
48000,1480.53125,1729551646.424119
48500,1468.939453125,1729551659.7016242
49000,1468.939453125,1729551673.3359678
49500,1449.4705810546875,1729551686.7178512
50000,1449.4705810546875,1729551699.9135823
50500,1449.4705810546875,1729551713.1005325
51000,1449.4705810546875,1729551726.2053478
51500,1449.4705810546875,1729551739.5777955
52000,1479.8857421875,1729551753.0384388
52500,1479.8857421875,1729551766.3069568
53000,1479.8857421875,1729551779.5555897
53500,1479.8857421875,1729551792.971489
54000,1479.8857421875,1729551806.2036622
54500,1479.8857421875,1729551819.7851589
55000,1479.8857421875,1729551832.905832
55500,1538.138916015625,1729551846.2393675
56000,1510.54052734375,1729551859.5449986
56500,1510.54052734375,1729551872.653208
57000,1510.54052734375,1729551886.0613503
57500,1510.54052734375,1729551899.3194695
58000,1510.54052734375,1729551912.7488806
58500,1510.54052734375,1729551926.3216329
59000,1510.54052734375,1729551939.543867
59500,1510.54052734375,1729551952.820055
60000,1510.54052734375,1729551966.2217348
60500,1590.5526123046875,1729551979.8970034
61000,1590.5526123046875,1729551993.3237753
61500,1576.923095703125,1729552006.4939845
62000,1576.923095703125,1729552019.5492551
62500,1550.25,1729552032.8032181
63000,1550.25,1729552045.9804852
63500,1550.25,1729552059.1562672
64000,1550.25,1729552072.2877994
64500,1550.25,1729552086.0929801
