step,value,wall_time
1500,1101.0,1729279792.0707786
2000,1101.0,1729279826.6135612
2500,1101.0,1729279860.1956842
3000,1101.0,1729279895.272096
3500,1101.0,1729279929.1814904
4000,1889.0,1729279967.954127
4500,1889.0,1729280002.4668312
5000,1889.0,1729280038.597021
5500,1889.0,1729280073.5897436
6000,1889.0,1729280107.4057932
6500,1889.0,1729280144.0051792
7000,1889.0,1729280181.0252376
7500,1889.0,1729280214.4212775
8000,1889.0,1729280250.9737313
8500,1889.0,1729280283.8292897
9000,1889.0,1729280316.2952888
9500,3064.333251953125,1729280349.5076387
10000,2429.5,1729280381.9566395
10500,2429.5,1729280413.9856386
11000,2104.60009765625,1729280446.1016395
11500,1887.6666259765625,1729280478.182639
12000,1887.6666259765625,1729280511.1727426
12500,1887.6666259765625,1729280543.5797448
13000,1798.5714111328125,1729280576.1817427
13500,1634.5,1729280609.020826
14000,1634.5,1729280641.1898856
14500,1573.888916015625,1729280675.7319224
15000,1573.888916015625,1729280708.0529263
15500,1573.888916015625,1729280740.2789228
16000,1573.888916015625,1729280772.3679235
16500,1573.888916015625,1729280804.5479224
17000,1669.9000244140625,1729280836.9029224
17500,1669.9000244140625,1729280869.0309243
18000,1630.54541015625,1729280901.2609234
18500,1630.54541015625,1729280933.346922
19000,1630.54541015625,1729280965.4229233
19500,1630.54541015625,1729280997.562923
20000,1630.54541015625,1729281029.4069226
20500,1574.6922607421875,1729281061.757924
21000,1574.6922607421875,1729281093.7989235
21500,1574.6922607421875,1729281125.5049238
22000,1540.142822265625,1729281157.8529232
22500,1540.142822265625,1729281190.172924
23000,1540.142822265625,1729281222.5719228
23500,1539.5333251953125,1729281254.9109416
24000,1475.625,1729281287.4269416
24500,1436.11767578125,1729281320.0089421
25000,1436.11767578125,1729281352.271943
25500,1401.111083984375,1729281384.880944
26000,1354.4210205078125,1729281417.2799418
26500,1354.4210205078125,1729281449.6809425
27000,1335.5,1729281481.9819424
27500,1335.5,1729281514.3419418
28000,1317.3809814453125,1729281546.7249439
28500,1280.95458984375,1729281579.281944
29000,1247.7391357421875,1729281611.6269422
29500,1247.7391357421875,1729281643.9339423
30000,1247.7391357421875,1729281676.256942
30500,1247.7391357421875,1729281708.6039436
31000,1247.7391357421875,1729281741.1039417
31500,1247.7391357421875,1729281773.3999438
32000,1247.7391357421875,1729281805.9919422
32500,1337.3333740234375,1729281838.4969418
33000,1304.47998046875,1729281870.8839421
33500,1304.47998046875,1729281903.010942
34000,1304.47998046875,1729281935.247943
34500,1304.47998046875,1729281967.6259415
35000,1304.47998046875,1729282000.3519413
35500,1304.47998046875,1729282034.1249738
36000,1304.47998046875,1729282070.2555375
36500,1304.47998046875,1729282107.1005983
37000,1304.47998046875,1729282142.930597
37500,1435.8846435546875,1729282180.9482217
38000,1435.8846435546875,1729282223.2932754
38500,1435.8846435546875,1729282258.0282772
39000,1435.8846435546875,1729282299.9643824
39500,1435.8846435546875,1729282335.1563823
40000,1435.8846435546875,1729282370.932374
40500,1493.1851806640625,1729282408.1908834
41000,1493.1851806640625,1729282443.2746284
41500,1468.607177734375,1729282478.2897763
42000,1435.586181640625,1729282513.2871044
42500,1435.586181640625,1729282548.0828905
43000,1429.7667236328125,1729282583.4948754
43500,1429.7667236328125,1729282619.06066
44000,1429.7667236328125,1729282654.000725
44500,1429.7667236328125,1729282689.9076095
45000,1429.7667236328125,1729282725.778904
45500,1429.7667236328125,1729282760.974796
46000,1474.806396484375,1729282796.503663
46500,1474.806396484375,1729282831.7557225
47000,1474.806396484375,1729282866.8238451
47500,1474.806396484375,1729282901.9900048
48000,1474.806396484375,1729282937.1299314
48500,1474.806396484375,1729282972.2741556
49000,1523.21875,1729283008.1333804
49500,1497.3333740234375,1729283043.9917946
50000,1468.4705810546875,1729283079.499345
50500,1468.4705810546875,1729283115.2766566
51000,1468.4705810546875,1729283150.7428143
51500,1470.771484375,1729283186.0104704
52000,1470.771484375,1729283221.85383
52500,1470.771484375,1729283257.2696042
53000,1470.771484375,1729283292.2425008
53500,1470.771484375,1729283327.5138643
54000,1470.771484375,1729283363.145631
54500,1470.771484375,1729283399.2867994
55000,1516.22216796875,1729283434.650806
55500,1516.22216796875,1729283469.5836709
56000,1504.810791015625,1729283505.4126427
56500,1486.26318359375,1729283540.7293015
57000,1461.4615478515625,1729283576.4207296
57500,1461.4615478515625,1729283611.63609
58000,1461.4615478515625,1729283646.758034
58500,1452.0999755859375,1729283681.9007692
59000,1436.268310546875,1729283717.5647702
59500,1436.268310546875,1729283752.1995907
60000,1421.142822265625,1729283787.5098512
60500,1421.142822265625,1729283823.1486194
61000,1421.142822265625,1729283859.6779342
61500,1421.142822265625,1729283895.3010228
62000,1421.142822265625,1729283930.7079685
62500,1421.142822265625,1729283967.0092268
63000,1421.142822265625,1729284003.340326
63500,1471.4185791015625,1729284040.3190534
64000,1471.4185791015625,1729284075.9326391
64500,1456.1590576171875,1729284111.8938396
65000,1456.1590576171875,1729284148.227784
65500,1456.1590576171875,1729284183.704059
66000,1458.977783203125,1729284219.469779
66500,1458.977783203125,1729284254.8776958
67000,1458.977783203125,1729284290.59792
67500,1457.391357421875,1729284326.7609413
68000,1457.391357421875,1729284365.5509121
68500,1457.391357421875,1729284404.0065775
69000,1457.391357421875,1729284442.6376293
69500,1457.391357421875,1729284481.367876
70000,1486.404296875,1729284518.9318354
70500,1486.404296875,1729284556.665883
71000,1486.404296875,1729284597.3688626
71500,1486.404296875,1729284637.179024
72000,1486.404296875,1729284678.7989695
72500,1486.404296875,1729284720.3738682
73000,1517.5833740234375,1729284761.741666
73500,1517.5833740234375,1729284803.241663
74000,1517.5833740234375,1729284844.6285672
74500,1518.9183349609375,1729284886.603194
75000,1518.9183349609375,1729284921.3577433
75500,1518.9183349609375,1729284955.559686
76000,1518.9183349609375,1729284989.204952
76500,1518.9183349609375,1729285022.4160986
77000,1518.9183349609375,1729285060.9276485
77500,1548.9000244140625,1729285099.599821
78000,1548.9000244140625,1729285133.4013665
78500,1548.9000244140625,1729285166.7899492
79000,1540.0391845703125,1729285200.2070355
79500,1523.1922607421875,1729285234.5947149
80000,1523.1922607421875,1729285267.7927406
80500,1518.1510009765625,1729285301.3589268
81000,1499.611083984375,1729285334.8961053
81500,1499.611083984375,1729285368.1537316
82000,1499.611083984375,1729285401.327306
82500,1499.611083984375,1729285434.4258716
83000,1499.611083984375,1729285467.5268705
83500,1499.611083984375,1729285500.6708915
84000,1518.3272705078125,1729285534.0577228
84500,1518.3272705078125,1729285567.216725
85000,1518.3272705078125,1729285601.578375
85500,1518.3272705078125,1729285635.3017824
86000,1518.3272705078125,1729285671.4517043
86500,1539.8214111328125,1729285704.8729599
87000,1521.77197265625,1729285739.1437578
87500,1504.465576171875,1729285772.1989925
88000,1504.465576171875,1729285805.4671507
88500,1504.465576171875,1729285838.4076796
89000,1504.465576171875,1729285871.3627205
89500,1504.465576171875,1729285904.3947656
90000,1504.465576171875,1729285937.3198037
90500,1531.7796630859375,1729285970.769999
91000,1531.7796630859375,1729286003.3127065
91500,1519.6500244140625,1729286036.2952175
92000,1503.2294921875,1729286069.1082184
92500,1503.2294921875,1729286101.6042166
93000,1496.5968017578125,1729286134.497217
93500,1496.5968017578125,1729286167.3959198
94000,1485.6190185546875,1729286201.1166675
94500,1485.6190185546875,1729286234.0562494
95000,1479.578125,1729286266.8847604
95500,1464.7384033203125,1729286299.914779
96000,1464.7384033203125,1729286332.9469678
96500,1457.3939208984375,1729286366.1465564
97000,1446.1790771484375,1729286399.2691078
97500,1446.1790771484375,1729286432.2207637
98000,1434.75,1729286465.2179525
98500,1425.6956787109375,1729286498.487692
99000,1425.6956787109375,1729286531.3802338
99500,1421.0428466796875,1729286564.5378294
100000,1421.0428466796875,1729286597.5219462
100500,1421.0428466796875,1729286630.6566563
101000,1420.45068359375,1729286663.7557826
101500,1420.45068359375,1729286698.4398444
102000,1415.875,1729286734.5462217
102500,1403.5343017578125,1729286768.0083337
