step,value,wall_time
500,135.0,1729177129.5996811
1000,146.5,1729177132.9212716
1500,119.16666412353516,1729177136.4311419
2000,141.57142639160156,1729177139.6112304
2500,118.5,1729177143.0092657
3000,117.16000366210938,1729177146.3034077
3500,97.68571472167969,1729177150.1461384
4000,97.53845977783203,1729177153.3172758
4500,104.61904907226562,1729177156.5376441
5000,107.73912811279297,1729177159.7420087
5500,116.46808624267578,1729177162.8514657
6000,123.08333587646484,1729177165.8791993
6500,129.75509643554688,1729177168.8130786
7000,134.97999572753906,1729177171.8571823
7500,142.5098114013672,1729177174.9164078
8000,146.92308044433594,1729177178.1335132
8500,152.2452850341797,1729177181.261096
9000,159.0,1729177184.6081433
9500,168.23635864257812,1729177187.7693975
10000,168.23635864257812,1729177190.5524926
10500,180.45614624023438,1729177193.8324356
11000,185.94827270507812,1729177196.744794
11500,184.18032836914062,1729177200.0139668
12000,183.890625,1729177203.3070323
12500,183.890625,1729177206.2267747
13000,193.38461303710938,1729177209.506496
13500,201.6212158203125,1729177212.6142569
14000,206.23880004882812,1729177215.8065755
14500,206.43478393554688,1729177218.9834602
15000,208.26388549804688,1729177222.159823
15500,211.21917724609375,1729177225.5263758
16000,209.3333282470703,1729177228.9721272
16500,215.90789794921875,1729177232.1903622
17000,215.06494140625,1729177235.3306696
17500,215.06494140625,1729177238.3948944
18000,224.01266479492188,1729177241.574885
18500,225.19752502441406,1729177244.7262387
19000,225.32142639160156,1729177248.1167479
19500,223.18605041503906,1729177251.1701627
20000,223.35955810546875,1729177254.508492
20500,219.19354248046875,1729177257.8232853
21000,214.25509643554688,1729177261.1563346
21500,210.22999572753906,1729177264.3673484
22000,211.8699951171875,1729177267.6727018
22500,211.49000549316406,1729177271.0223632
23000,214.0500030517578,1729177274.1610398
23500,214.36000061035156,1729177277.298829
24000,218.50999450683594,1729177280.986766
24500,218.52000427246094,1729177283.9665837
25000,221.3800048828125,1729177287.2755263
25500,226.85000610351562,1729177290.2861214
26000,230.74000549316406,1729177293.2811065
26500,236.05999755859375,1729177296.285974
27000,236.05999755859375,1729177298.9919207
27500,244.47000122070312,1729177302.2497265
28000,244.47000122070312,1729177305.0028973
28500,244.47000122070312,1729177307.8285792
29000,256.8999938964844,1729177310.8439846
29500,262.6000061035156,1729177313.7553902
30000,262.6000061035156,1729177316.6515703
30500,262.6000061035156,1729177319.5041006
31000,276.739990234375,1729177323.0414279
31500,276.739990234375,1729177325.911083
32000,276.739990234375,1729177328.7122993
32500,291.2699890136719,1729177331.6991084
33000,291.2699890136719,1729177334.6531003
33500,300.8900146484375,1729177337.7453637
34000,305.04998779296875,1729177340.7681265
34500,305.04998779296875,1729177343.6727335
35000,312.6700134277344,1729177347.1262054
35500,312.6700134277344,1729177350.123432
36000,322.760009765625,1729177353.139948
36500,326.8699951171875,1729177356.336596
37000,326.8699951171875,1729177359.728303
37500,339.2799987792969,1729177363.798356
38000,339.2799987792969,1729177367.9865654
38500,343.25,1729177371.9846888
39000,343.25,1729177375.5470343
39500,355.9800109863281,1729177379.3871694
40000,357.3599853515625,1729177383.3080878
40500,361.7099914550781,1729177387.5997376
41000,363.8500061035156,1729177391.3246105
41500,363.8500061035156,1729177395.0680702
42000,371.3900146484375,1729177398.8786104
42500,351.760009765625,1729177403.6902063
43000,318.69000244140625,1729177408.7280958
43500,294.82000732421875,1729177413.529839
44000,288.0400085449219,1729177418.0605125
44500,279.6000061035156,1729177422.4412534
45000,283.8500061035156,1729177426.3232298
45500,278.94000244140625,1729177430.4165974
46000,282.7099914550781,1729177434.4119186
46500,283.4599914550781,1729177438.6677144
47000,280.6300048828125,1729177443.2731366
47500,283.1400146484375,1729177447.7649558
48000,285.4800109863281,1729177451.8087516
48500,286.3800048828125,1729177455.8677282
49000,289.9100036621094,1729177460.0272903
49500,290.30999755859375,1729177463.5272462
50000,293.3900146484375,1729177466.8655071
50500,295.8299865722656,1729177470.4880238
51000,297.510009765625,1729177474.151711
51500,300.2200012207031,1729177477.4895067
52000,301.760009765625,1729177480.586026
52500,304.55999755859375,1729177483.533356
53000,305.57000732421875,1729177486.913454
53500,306.510009765625,1729177489.9478164
54000,309.5199890136719,1729177493.062221
54500,309.0199890136719,1729177496.4211888
55000,308.9800109863281,1729177499.7453616
55500,280.6000061035156,1729177503.097724
56000,263.1700134277344,1729177506.3015225
56500,256.5299987792969,1729177509.4304569
57000,245.77000427246094,1729177512.5707066
57500,245.77000427246094,1729177515.3338792
58000,245.77000427246094,1729177518.2595143
58500,249.67999267578125,1729177521.1218038
59000,249.67999267578125,1729177523.9883208
59500,249.67999267578125,1729177526.831581
60000,249.67999267578125,1729177529.5143332
60500,249.67999267578125,1729177532.2306554
61000,249.67999267578125,1729177535.152054
61500,249.67999267578125,1729177538.007901
62000,249.67999267578125,1729177540.9923987
62500,249.67999267578125,1729177543.6800337
63000,249.67999267578125,1729177546.4042332
63500,249.67999267578125,1729177549.1319947
64000,249.67999267578125,1729177551.8609335
64500,249.67999267578125,1729177554.57527
65000,249.67999267578125,1729177557.2843082
65500,319.55999755859375,1729177560.2850516
66000,319.42999267578125,1729177563.3408248
66500,316.55999755859375,1729177566.265145
67000,311.5899963378906,1729177569.1692607
67500,311.5899963378906,1729177572.094237
68000,314.1700134277344,1729177574.9392185
68500,307.3900146484375,1729177577.899047
69000,309.19000244140625,1729177580.6958332
69500,300.45001220703125,1729177583.6737947
70000,300.45001220703125,1729177586.3839169
70500,302.1099853515625,1729177589.5489273
71000,305.739990234375,1729177592.868948
71500,305.739990234375,1729177595.6735473
72000,300.67999267578125,1729177598.8631544
72500,300.67999267578125,1729177601.6074307
73000,306.9700012207031,1729177604.7201517
73500,307.9599914550781,1729177607.5579362
74000,314.8800048828125,1729177610.575205
74500,314.8800048828125,1729177613.3234456
75000,314.8800048828125,1729177615.9689126
75500,314.8800048828125,1729177618.5872474
76000,314.8800048828125,1729177621.2647743
76500,314.8800048828125,1729177623.9100018
77000,344.5299987792969,1729177626.7272036
77500,344.5299987792969,1729177629.4305084
78000,344.5299987792969,1729177632.0649297
78500,359.05999755859375,1729177634.8313951
79000,363.9200134277344,1729177637.7631612
79500,365.32000732421875,1729177640.7602222
80000,369.4800109863281,1729177643.5707445
80500,375.4599914550781,1729177646.7052703
81000,375.4599914550781,1729177649.6123934
81500,385.4200134277344,1729177652.5166395
82000,385.4200134277344,1729177655.2269738
82500,394.239990234375,1729177658.2579725
83000,398.6700134277344,1729177661.268726
83500,403.6000061035156,1729177664.0567586
84000,407.9700012207031,1729177666.9744942
84500,412.1499938964844,1729177669.7511237
85000,414.5400085449219,1729177672.6100276
85500,414.5400085449219,1729177675.2462313
86000,424.489990234375,1729177678.1517549
86500,424.489990234375,1729177680.733063
87000,435.3800048828125,1729177683.5765388
87500,435.3800048828125,1729177686.2757227
88000,435.3800048828125,1729177689.3742018
88500,447.6000061035156,1729177692.150401
89000,452.6499938964844,1729177695.0415301
89500,457.8299865722656,1729177698.018188
90000,457.8299865722656,1729177700.7975516
90500,466.67999267578125,1729177703.6437156
91000,466.57000732421875,1729177706.4487605
91500,470.3999938964844,1729177709.3374329
92000,470.3999938964844,1729177711.9620306
92500,477.3599853515625,1729177714.879137
93000,484.0899963378906,1729177717.7286332
93500,485.54998779296875,1729177720.800141
94000,485.54998779296875,1729177723.565963
94500,488.4599914550781,1729177726.492726
95000,488.4599914550781,1729177729.136064
95500,494.2799987792969,1729177732.00907
96000,494.2799987792969,1729177734.7968233
96500,500.20001220703125,1729177737.6769426
97000,500.20001220703125,1729177740.4323452
97500,500.20001220703125,1729177743.0136988
98000,508.80999755859375,1729177745.9308712
98500,508.80999755859375,1729177748.5182009
99000,508.80999755859375,1729177751.1528096
99500,508.80999755859375,1729177753.734549
100000,532.8599853515625,1729177756.5043154
100500,531.469970703125,1729177759.3595169
101000,531.469970703125,1729177761.9504669
101500,539.3599853515625,1729177764.8819423
102000,543.6699829101562,1729177767.6316524
102500,546.7000122070312,1729177770.5323093
103000,546.7000122070312,1729177773.3570402
103500,551.219970703125,1729177776.5204575
104000,551.219970703125,1729177779.2431555
104500,554.1599731445312,1729177782.199995
105000,558.4099731445312,1729177785.0325553
105500,558.4099731445312,1729177787.9076746
106000,564.7899780273438,1729177790.7555513
106500,564.7899780273438,1729177793.4592962
107000,564.7899780273438,1729177796.1434095
107500,579.4099731445312,1729177799.0288997
108000,579.4099731445312,1729177801.7207706
108500,587.0999755859375,1729177804.5979135
109000,591.8400268554688,1729177807.8755238
109500,591.8400268554688,1729177810.8114138
110000,591.8400268554688,1729177813.5866518
110500,591.8400268554688,1729177816.272058
111000,604.260009765625,1729177819.1663415
111500,604.260009765625,1729177821.9162786
112000,614.8099975585938,1729177824.8796892
112500,614.8099975585938,1729177827.60715
113000,624.22998046875,1729177830.4700694
113500,624.22998046875,1729177833.2987504
114000,632.52001953125,1729177836.1967702
114500,632.52001953125,1729177839.0551524
115000,632.52001953125,1729177841.7459857
115500,632.52001953125,1729177844.430275
116000,632.52001953125,1729177847.1418164
116500,632.52001953125,1729177849.9066153
117000,662.1699829101562,1729177852.7869782
117500,662.1699829101562,1729177855.6804802
118000,662.1699829101562,1729177858.4415154
118500,672.1699829101562,1729177861.279155
119000,672.1699829101562,1729177864.0873475
119500,681.5800170898438,1729177866.9358358
120000,685.3099975585938,1729177869.8468678
120500,685.3099975585938,1729177872.5434754
121000,685.3099975585938,1729177875.2784631
121500,685.3099975585938,1729177877.907548
122000,685.3099975585938,1729177880.578467
122500,706.8099975585938,1729177883.401891
123000,706.8099975585938,1729177886.227365
123500,713.6400146484375,1729177889.0634632
124000,709.2100219726562,1729177892.1675005
124500,714.0599975585938,1729177895.0947638
125000,721.2999877929688,1729177897.9731925
125500,721.2999877929688,1729177900.7851999
126000,728.6799926757812,1729177903.610669
126500,728.6799926757812,1729177906.4967937
127000,734.6099853515625,1729177909.3301275
127500,734.6099853515625,1729177912.162497
128000,734.6099853515625,1729177914.8791301
128500,734.6099853515625,1729177917.5520298
129000,753.530029296875,1729177920.3827753
129500,753.530029296875,1729177923.2371943
130000,761.1300048828125,1729177926.0937207
130500,761.1300048828125,1729177928.9485872
131000,761.1300048828125,1729177931.8888469
131500,761.1300048828125,1729177934.782502
132000,761.1300048828125,1729177937.439013
132500,782.6599731445312,1729177940.2926223
133000,785.6699829101562,1729177943.3089151
133500,785.6699829101562,1729177946.1434722
134000,785.6699829101562,1729177948.8788676
134500,798.010009765625,1729177951.8514924
135000,801.2899780273438,1729177954.7164469
135500,801.2899780273438,1729177958.0095716
136000,813.1300048828125,1729177961.0158975
136500,814.7999877929688,1729177963.9945574
137000,814.7999877929688,1729177966.775075
137500,824.2899780273438,1729177969.7075284
