step,value,wall_time
500,3.700000047683716,1729504485.8596025
1000,3.7699999809265137,1729504505.5208933
1500,4.139999866485596,1729504523.5665736
2000,4.960000038146973,1729504540.1379325
2500,4.960000038146973,1729504554.5657496
3000,6.639999866485596,1729504567.660282
3500,7.130000114440918,1729504577.9672086
4000,8.640000343322754,1729504588.816421
4500,11.09000015258789,1729504596.1764169
5000,13.619999885559082,1729504602.893935
5500,17.670000076293945,1729504607.0172725
6000,22.329999923706055,1729504611.3045323
6500,26.479999542236328,1729504616.0331554
7000,30.600000381469727,1729504619.8287601
7500,35.310001373291016,1729504622.9162471
8000,40.09000015258789,1729504626.1242795
8500,45.16999816894531,1729504629.9404845
9000,45.709999084472656,1729504632.9722757
9500,52.400001525878906,1729504636.463077
10000,56.310001373291016,1729504639.3185105
10500,60.29999923706055,1729504642.0570285
11000,67.62999725341797,1729504645.0994892
11500,73.22000122070312,1729504647.8332837
12000,79.18000030517578,1729504650.5353417
12500,83.19999694824219,1729504653.3596575
13000,88.94000244140625,1729504656.2695317
13500,90.91999816894531,1729504659.0704386
14000,98.12000274658203,1729504661.9754148
14500,102.37000274658203,1729504665.0844367
15000,102.91999816894531,1729504667.9350255
15500,107.72000122070312,1729504670.786386
16000,115.73999786376953,1729504674.4658446
16500,115.73999786376953,1729504677.148422
17000,123.23999786376953,1729504680.5660703
17500,129.5800018310547,1729504683.4636457
18000,135.72999572753906,1729504686.2545176
18500,135.72999572753906,1729504688.457375
19000,143.7100067138672,1729504691.1596472
19500,143.7100067138672,1729504693.864851
20000,143.7100067138672,1729504696.6555755
20500,157.11000061035156,1729504699.601817
21000,162.24000549316406,1729504702.0432763
21500,167.44000244140625,1729504704.3899443
22000,173.89999389648438,1729504706.787246
22500,179.0399932861328,1729504709.694949
23000,179.0399932861328,1729504712.0084765
23500,187.05999755859375,1729504714.725212
24000,194.1300048828125,1729504717.3194256
24500,194.1300048828125,1729504719.5500016
25000,194.1300048828125,1729504721.8747015
25500,206.5,1729504724.3057911
26000,214.4499969482422,1729504726.7647653
26500,217.8800048828125,1729504729.0697558
27000,221.52999877929688,1729504731.5010753
27500,221.52999877929688,1729504733.688503
28000,232.4600067138672,1729504736.0725946
28500,236.77999877929688,1729504738.5303583
29000,236.77999877929688,1729504740.7923253
29500,236.77999877929688,1729504743.5885334
30000,250.5500030517578,1729504746.6178827
30500,258.44000244140625,1729504748.9964788
31000,258.44000244140625,1729504751.201674
31500,268.1499938964844,1729504753.7011368
32000,270.489990234375,1729504756.1220672
32500,277.2300109863281,1729504758.6623378
33000,281.1099853515625,1729504761.0833426
33500,284.79998779296875,1729504763.4978511
