step,value,wall_time
1000,525.0,1729543157.0805428
1500,525.0,1729543188.7405455
2000,956.5,1729543221.5469484
2500,956.5,1729543253.4899492
3000,956.5,1729543285.2799501
3500,956.5,1729543317.0034854
4000,956.5,1729543348.8044832
4500,956.5,1729543380.765559
5000,1578.3333740234375,1729543413.5476558
5500,1578.3333740234375,1729543445.388655
6000,1578.3333740234375,1729543477.3466542
6500,1578.3333740234375,1729543509.6846561
7000,1578.3333740234375,1729543541.2006536
7500,1816.75,1729543572.7006538
8000,1587.199951171875,1729543604.3116534
8500,1587.199951171875,1729543635.652654
9000,1587.199951171875,1729543667.119656
9500,1532.3333740234375,1729543698.7976563
10000,1532.3333740234375,1729543730.366656
10500,1468.7142333984375,1729543762.045654
11000,1468.7142333984375,1729543793.3856535
11500,1468.7142333984375,1729543824.906656
12000,1494.625,1729543856.5306537
12500,1494.625,1729543887.960656
13000,1494.625,1729543919.2336557
13500,1450.5555419921875,1729543950.6586542
14000,1450.5555419921875,1729543982.1696541
14500,1450.5555419921875,1729544013.5286539
15000,1450.5555419921875,1729544045.1086562
15500,1450.5555419921875,1729544076.4476562
16000,1586.699951171875,1729544107.9366536
16500,1586.699951171875,1729544139.3096545
17000,1586.699951171875,1729544170.5986552
17500,1586.699951171875,1729544202.1176543
18000,1594.6363525390625,1729544233.6766543
18500,1594.6363525390625,1729544264.922656
19000,1594.6363525390625,1729544296.3036559
19500,1594.6363525390625,1729544327.553654
20000,1594.6363525390625,1729544359.0086558
20500,1672.8333740234375,1729544390.464655
21000,1584.076904296875,1729544422.556654
21500,1508.0,1729544456.349654
22000,1508.0,1729544487.7806535
22500,1480.4666748046875,1729544519.2136536
23000,1480.4666748046875,1729544550.7276542
23500,1480.4666748046875,1729544582.1826549
24000,1480.4666748046875,1729544613.503656
24500,1480.4666748046875,1729544644.9196541
25000,1480.4666748046875,1729544676.306655
25500,1480.4666748046875,1729544710.1716545
26000,1618.1875,1729544746.4722433
26500,1553.11767578125,1729544781.6262393
27000,1495.6666259765625,1729544816.8552606
27500,1444.2105712890625,1729544852.220261
28000,1444.2105712890625,1729544887.2352624
28500,1444.2105712890625,1729544922.5132723
29000,1441.1500244140625,1729544958.524264
29500,1441.1500244140625,1729544993.8672602
30000,1441.1500244140625,1729545029.0132642
30500,1441.1500244140625,1729545064.2272906
31000,1441.1500244140625,1729545099.3092897
31500,1441.1500244140625,1729545134.5232904
32000,1507.047607421875,1729545169.8602903
32500,1507.047607421875,1729545204.8722882
33000,1507.047607421875,1729545240.1372905
33500,1509.0909423828125,1729545275.2402918
34000,1465.8695068359375,1729545310.5582893
34500,1425.9166259765625,1729545345.6092896
35000,1425.9166259765625,1729545380.8752902
35500,1412.52001953125,1729545416.312289
36000,1412.52001953125,1729545451.334292
36500,1389.34619140625,1729545486.4192894
37000,1389.34619140625,1729545521.62029
37500,1389.34619140625,1729545556.8552902
38000,1389.34619140625,1729545591.8708293
38500,1389.34619140625,1729545627.0598276
39000,1389.34619140625,1729545662.3968277
39500,1389.34619140625,1729545697.5628295
40000,1463.6666259765625,1729545732.882337
40500,1429.8214111328125,1729545768.61834
41000,1429.8214111328125,1729545803.6603422
41500,1428.1033935546875,1729545839.0453389
42000,1428.1033935546875,1729545874.0723398
42500,1428.1033935546875,1729545909.407359
43000,1428.1033935546875,1729545944.4833596
43500,1428.1033935546875,1729545979.6103604
44000,1428.1033935546875,1729546014.7943568
44500,1428.1033935546875,1729546049.9263594
45000,1428.1033935546875,1729546085.0953596
45500,1428.1033935546875,1729546120.2923584
46000,1428.1033935546875,1729546155.715359
46500,1428.1033935546875,1729546190.9793594
47000,1551.0999755859375,1729546227.4176753
47500,1517.6129150390625,1729546262.6926765
48000,1486.25,1729546297.8656766
48500,1486.25,1729546333.116805
49000,1486.25,1729546364.727806
49500,1486.25,1729546396.4478042
50000,1486.25,1729546427.9778042
50500,1526.9697265625,1729546459.8798063
51000,1526.9697265625,1729546491.3308048
51500,1510.61767578125,1729546523.3778064
52000,1510.61767578125,1729546554.8168063
52500,1510.61767578125,1729546586.5708063
53000,1510.61767578125,1729546618.3048055
53500,1510.61767578125,1729546650.0358062
54000,1510.61767578125,1729546681.6428046
54500,1510.61767578125,1729546714.902221
55000,1510.61767578125,1729546749.7322469
55500,1510.61767578125,1729546783.6252463
56000,1510.61767578125,1729546817.241247
56500,1510.61767578125,1729546850.7462468
57000,1510.61767578125,1729546884.2732487
57500,1510.61767578125,1729546917.7792475
58000,1510.61767578125,1729546951.266249
58500,1510.61767578125,1729546984.6432483
59000,1675.914306640625,1729547018.9382753
59500,1675.914306640625,1729547052.5692737
60000,1659.638916015625,1729547086.0712745
60500,1659.638916015625,1729547119.7742724
61000,1659.638916015625,1729547153.0042746
61500,1659.638916015625,1729547186.1402729
62000,1659.638916015625,1729547219.5702746
62500,1659.638916015625,1729547252.8562741
63000,1690.729736328125,1729547286.520273
63500,1690.729736328125,1729547319.8002741
64000,1690.729736328125,1729547353.8702743
64500,1690.729736328125,1729547387.138274
65000,1690.729736328125,1729547420.6952724
65500,1690.729736328125,1729547454.0112746
66000,1690.729736328125,1729547487.0432734
66500,1690.729736328125,1729547520.7822726
67000,1690.729736328125,1729547554.0402746
67500,1690.729736328125,1729547587.411275
68000,1788.7894287109375,1729547621.1632736
68500,1788.7894287109375,1729547654.2092745
69000,1788.7894287109375,1729547687.594274
69500,1726.75,1729547721.0542738
70000,1696.8780517578125,1729547754.3922727
70500,1668.761962890625,1729547787.8672726
71000,1641.9766845703125,1729547821.2762725
71500,1641.9766845703125,1729547853.336805
72000,1629.45458984375,1729547885.5638337
72500,1601.77783203125,1729547917.8088355
73000,1601.77783203125,1729547949.8228347
73500,1601.77783203125,1729547982.5068336
74000,1601.77783203125,1729548015.2348342
74500,1601.77783203125,1729548048.0338335
75000,1601.77783203125,1729548081.8183427
75500,1601.77783203125,1729548113.5594654
76000,1601.77783203125,1729548144.9185288
76500,1601.77783203125,1729548176.576684
77000,1672.065185546875,1729548208.2442276
77500,1672.065185546875,1729548239.6292634
78000,1657.25537109375,1729548271.0993426
78500,1657.25537109375,1729548302.74243
79000,1657.25537109375,1729548334.6675036
79500,1657.25537109375,1729548366.1456554
80000,1657.25537109375,1729548397.7542126
80500,1657.25537109375,1729548429.1988466
81000,1657.25537109375,1729548460.6704626
81500,1657.25537109375,1729548492.2646391
82000,1657.25537109375,1729548523.732855
