step,value,wall_time
1000,807.0,1729425566.8941684
1500,807.0,1729425575.47291
2000,807.0,1729425584.1124327
2500,807.0,1729425592.746278
3000,807.0,1729425601.4581757
3500,807.0,1729425610.8055677
4000,1270.3333740234375,1729425620.2947047
4500,1270.3333740234375,1729425629.2900329
5000,1153.75,1729425638.3614135
5500,1025.5999755859375,1729425647.4455757
6000,1025.5999755859375,1729425656.2112825
6500,1066.6666259765625,1729425666.1042135
7000,1066.6666259765625,1729425674.9036188
7500,1066.6666259765625,1729425683.8984575
8000,1094.4285888671875,1729425693.047396
8500,1017.625,1729425701.8983505
9000,1017.625,1729425710.7856362
9500,1017.625,1729425719.636572
10000,1017.625,1729425728.5344958
10500,1017.625,1729425737.455674
11000,1218.111083984375,1729425746.3528688
11500,1147.800048828125,1729425755.406298
12000,1147.800048828125,1729425764.3162878
12500,1147.800048828125,1729425773.245915
13000,1147.800048828125,1729425782.217765
13500,1147.800048828125,1729425791.0811758
14000,1147.800048828125,1729425800.09231
14500,1289.727294921875,1729425809.3337352
15000,1289.727294921875,1729425818.2700248
15500,1262.5833740234375,1729425827.3316193
16000,1262.5833740234375,1729425836.2415662
16500,1249.5384521484375,1729425845.4312215
17000,1249.5384521484375,1729425854.4111354
17500,1238.142822265625,1729425863.4187832
18000,1238.142822265625,1729425872.552513
18500,1209.066650390625,1729425881.7947795
19000,1209.066650390625,1729425890.6716902
19500,1209.066650390625,1729425899.543902
20000,1219.625,1729425909.033605
20500,1219.625,1729425917.9931552
21000,1219.625,1729425926.8834677
21500,1219.625,1729425935.7314394
22000,1219.625,1729425944.6032038
22500,1219.625,1729425953.387445
23000,1219.625,1729425962.562565
23500,1219.625,1729425971.5895529
24000,1219.625,1729425980.4973245
24500,1415.176513671875,1729425989.6834002
25000,1415.176513671875,1729425998.5488534
25500,1415.176513671875,1729426007.6599216
26000,1415.176513671875,1729426016.551375
26500,1415.176513671875,1729426025.4620152
27000,1415.176513671875,1729426034.3999772
27500,1415.176513671875,1729426043.2544014
28000,1415.176513671875,1729426052.5316484
28500,1415.176513671875,1729426061.5231097
29000,1589.5555419921875,1729426070.777852
29500,1533.1578369140625,1729426079.9930744
30000,1482.449951171875,1729426088.8822527
30500,1482.449951171875,1729426097.6199813
31000,1464.0,1729426106.4532082
31500,1464.0,1729426115.2796218
32000,1447.272705078125,1729426124.0658655
32500,1447.272705078125,1729426132.683294
33000,1419.0,1729426141.489277
33500,1419.0,1729426150.1371682
34000,1405.4583740234375,1729426159.0398967
34500,1405.4583740234375,1729426167.709535
35000,1392.6800537109375,1729426176.550356
35500,1392.6800537109375,1729426185.2102153
36000,1392.6800537109375,1729426193.859717
36500,1392.6800537109375,1729426202.5829842
37000,1392.6800537109375,1729426212.0617805
37500,1392.6800537109375,1729426220.9181545
38000,1392.6800537109375,1729426229.8709261
38500,1464.8077392578125,1729426239.0619295
39000,1429.888916015625,1729426248.0009758
39500,1429.888916015625,1729426256.736505
40000,1429.888916015625,1729426265.7739532
40500,1429.888916015625,1729426274.5827782
41000,1429.888916015625,1729426283.3342314
41500,1479.5357666015625,1729426292.3199198
42000,1441.5172119140625,1729426301.2411418
42500,1441.5172119140625,1729426309.968871
43000,1429.6666259765625,1729426318.8998823
43500,1429.6666259765625,1729426327.6859553
44000,1429.6666259765625,1729426336.455927
44500,1429.6666259765625,1729426345.4179103
45000,1429.6666259765625,1729426354.4767723
45500,1429.6666259765625,1729426363.339148
46000,1483.709716796875,1729426372.2911623
46500,1483.709716796875,1729426381.1993833
47000,1483.709716796875,1729426389.989239
47500,1480.53125,1729426398.9987655
48000,1480.53125,1729426407.8167696
48500,1468.939453125,1729426417.054907
49000,1468.939453125,1729426425.8977907
49500,1449.4705810546875,1729426434.840641
50000,1449.4705810546875,1729426443.6334538
50500,1449.4705810546875,1729426452.410378
51000,1449.4705810546875,1729426461.206025
51500,1449.4705810546875,1729426470.0413833
52000,1479.8857421875,1729426479.375009
52500,1479.8857421875,1729426488.2172801
53000,1479.8857421875,1729426496.8403542
53500,1479.8857421875,1729426505.6246889
54000,1479.8857421875,1729426514.5804148
54500,1479.8857421875,1729426523.2625172
55000,1479.8857421875,1729426531.9372272
55500,1538.138916015625,1729426540.8369188
56000,1510.54052734375,1729426549.671951
56500,1510.54052734375,1729426558.3266573
57000,1510.54052734375,1729426567.2703388
57500,1510.54052734375,1729426576.0255988
58000,1510.54052734375,1729426584.7642283
58500,1510.54052734375,1729426593.4797354
59000,1510.54052734375,1729426602.5808182
59500,1510.54052734375,1729426611.311983
60000,1510.54052734375,1729426620.0764282
60500,1590.5526123046875,1729426629.1148324
61000,1590.5526123046875,1729426638.0016701
61500,1576.923095703125,1729426646.9339564
62000,1576.923095703125,1729426655.79435
62500,1550.25,1729426664.7684188
63000,1550.25,1729426673.5201643
63500,1550.25,1729426682.287713
64000,1550.25,1729426691.0432665
64500,1550.25,1729426699.890512
65000,1550.25,1729426708.721152
65500,1550.25,1729426717.5213823
66000,1550.25,1729426726.2940817
66500,1550.25,1729426735.086124
67000,1623.219482421875,1729426744.219753
