step,value,wall_time
3000,2689.0,1729611266.9188297
3500,2689.0,1729611277.1718297
4000,1973.5,1729611287.6418273
4500,1973.5,1729611297.9088297
5000,1973.5,1729611308.1848297
5500,1973.5,1729611318.5198298
6000,1973.5,1729611328.8108296
6500,1973.5,1729611339.0728276
7000,1973.5,1729611349.3368287
7500,2448.666748046875,1729611359.8948278
8000,2448.666748046875,1729611370.2288277
8500,2448.666748046875,1729611380.542829
9000,2222.25,1729611390.9408271
9500,2222.25,1729611401.1828294
10000,1997.199951171875,1729611411.6478279
10500,1997.199951171875,1729611421.9118278
11000,1997.199951171875,1729611432.19183
11500,1895.6666259765625,1729611442.6558297
12000,1895.6666259765625,1729611452.905828
12500,1895.6666259765625,1729611463.1558292
13000,1820.857177734375,1729611473.6398313
13500,1820.857177734375,1729611483.9108279
14000,1729.625,1729611494.3518312
14500,1594.888916015625,1729611504.9448278
15000,1594.888916015625,1729611515.5238278
15500,1594.888916015625,1729611526.1188283
16000,1594.888916015625,1729611537.1638288
16500,1594.888916015625,1729611547.5758295
17000,1594.888916015625,1729611557.831828
17500,1594.888916015625,1729611568.0798297
18000,1791.5999755859375,1729611578.6448286
18500,1791.5999755859375,1729611588.8158298
19000,1791.5999755859375,1729611599.0028284
19500,1744.3636474609375,1729611609.4338274
20000,1744.3636474609375,1729611619.6288297
20500,1744.3636474609375,1729611629.8358288
21000,1744.3636474609375,1729611640.0938277
21500,1744.3636474609375,1729611650.3018293
22000,1744.3636474609375,1729611660.524828
22500,1744.3636474609375,1729611670.7508295
23000,1744.3636474609375,1729611680.9688277
23500,1744.3636474609375,1729611691.4098275
24000,1744.3636474609375,1729611701.6668293
24500,1744.3636474609375,1729611711.9248295
25000,1744.3636474609375,1729611722.1868274
25500,1744.3636474609375,1729611732.4558291
26000,1744.3636474609375,1729611742.7308273
26500,2170.5,1729611753.204827
27000,2064.84619140625,1729611763.7788277
27500,2064.84619140625,1729611774.0318296
28000,1988.5,1729611784.4538276
28500,1988.5,1729611794.7598276
29000,1929.2667236328125,1729611805.2478275
29500,1929.2667236328125,1729611815.4498298
30000,1859.4375,1729611825.9148288
30500,1859.4375,1729611836.2158308
31000,1859.4375,1729611846.5028293
31500,1840.0,1729611857.058829
32000,1840.0,1729611867.4058301
32500,1840.0,1729611877.6718278
33000,1840.0,1729611887.9338293
33500,1840.0,1729611898.1448274
34000,1840.0,1729611908.4108295
34500,1910.0555419921875,1729611918.9388285
35000,1910.0555419921875,1729611929.305829
35500,1851.73681640625,1729611939.7338278
36000,1851.73681640625,1729611949.9858289
36500,1851.73681640625,1729611960.2218297
37000,1851.73681640625,1729611970.484828
37500,1851.73681640625,1729611980.7338276
38000,1893.8499755859375,1729611991.2138293
38500,1893.8499755859375,1729612001.4558296
39000,1893.8499755859375,1729612011.7118294
39500,1869.761962890625,1729612022.1578271
40000,1807.8182373046875,1729612032.6148286
40500,1759.3043212890625,1729612043.0278294
41000,1759.3043212890625,1729612053.2698286
41500,1759.3043212890625,1729612063.5378273
42000,1743.5,1729612073.984828
42500,1743.5,1729612084.2228298
43000,1743.5,1729612094.5038295
43500,1743.5,1729612104.8048286
44000,1743.5,1729612115.0958288
44500,1743.5,1729612125.42283
45000,1782.6400146484375,1729612135.8678281
45500,1782.6400146484375,1729612146.1218297
46000,1782.6400146484375,1729612156.5198295
46500,1782.6400146484375,1729612166.9208288
47000,1789.576904296875,1729612177.3158288
47500,1789.576904296875,1729612187.5508296
48000,1789.576904296875,1729612197.8028293
48500,1789.576904296875,1729612208.0838294
49000,1789.576904296875,1729612218.3748283
49500,1827.77783203125,1729612228.872828
50000,1776.107177734375,1729612239.3238273
50500,1776.107177734375,1729612249.6108277
51000,1748.27587890625,1729612260.0368297
51500,1748.27587890625,1729612270.3528295
52000,1748.27587890625,1729612280.6728275
52500,1736.066650390625,1729612291.1018276
53000,1736.066650390625,1729612301.3858285
53500,1736.066650390625,1729612311.6698272
54000,1736.066650390625,1729612321.9208274
54500,1736.066650390625,1729612332.2068298
55000,1771.0968017578125,1729612342.681828
55500,1727.65625,1729612353.1168296
56000,1727.65625,1729612363.3818276
56500,1661.558837890625,1729612373.96783
57000,1661.558837890625,1729612384.201828
57500,1661.558837890625,1729612394.504831
58000,1650.4857177734375,1729612405.0748281
58500,1618.861083984375,1729612415.5508277
59000,1618.861083984375,1729612425.8278296
59500,1618.861083984375,1729612436.173828
60000,1618.861083984375,1729612446.445829
60500,1618.861083984375,1729612456.7528298
61000,1648.0810546875,1729612467.1908295
61500,1618.394775390625,1729612477.608827
62000,1618.394775390625,1729612487.8458285
62500,1589.94873046875,1729612498.2218273
63000,1589.94873046875,1729612508.5148287
63500,1577.4749755859375,1729612518.9598272
64000,1551.6341552734375,1729612529.4188278
64500,1551.6341552734375,1729612539.7108295
65000,1551.6341552734375,1729612549.978828
65500,1551.6341552734375,1729612560.2698288
66000,1551.6341552734375,1729612570.5748272
66500,1574.9761962890625,1729612581.036828
67000,1574.9761962890625,1729612591.3198295
67500,1567.279052734375,1729612601.7758305
68000,1567.279052734375,1729612612.0478275
68500,1556.5909423828125,1729612622.4788296
69000,1556.5909423828125,1729612632.7748303
69500,1533.5333251953125,1729612643.2438288
70000,1533.5333251953125,1729612653.683828
70500,1533.5333251953125,1729612663.9618285
71000,1533.5333251953125,1729612674.217828
71500,1533.5333251953125,1729612684.5128274
72000,1533.5333251953125,1729612694.8168283
72500,1565.934814453125,1729612705.2508285
73000,1565.934814453125,1729612715.5208273
73500,1565.934814453125,1729612725.8988276
74000,1565.934814453125,1729612736.1758285
74500,1565.934814453125,1729612746.453828
