step,value,wall_time
1000,807.0,1729265734.644727
1500,807.0,1729265740.7464538
2000,807.0,1729265746.8951979
2500,807.0,1729265753.2514052
3000,807.0,1729265759.5971134
3500,807.0,1729265765.7294288
4000,1270.3333740234375,1729265772.3040452
4500,1270.3333740234375,1729265778.2887585
5000,1153.75,1729265784.6960135
5500,1025.5999755859375,1729265791.0038695
6000,1025.5999755859375,1729265797.1545103
6500,1066.6666259765625,1729265803.25306
7000,1066.6666259765625,1729265809.400962
7500,1066.6666259765625,1729265815.6028938
8000,1094.4285888671875,1729265822.818889
8500,1017.625,1729265829.3196924
9000,1017.625,1729265834.6829846
9500,1017.625,1729265839.667445
10000,1017.625,1729265844.6510744
10500,1017.625,1729265849.5170555
11000,1218.111083984375,1729265854.6476955
11500,1147.800048828125,1729265859.5556638
12000,1147.800048828125,1729265864.2753525
12500,1147.800048828125,1729265869.012502
13000,1147.800048828125,1729265873.8232436
13500,1147.800048828125,1729265878.8992589
14000,1147.800048828125,1729265884.7024815
14500,1289.727294921875,1729265889.6304522
15000,1289.727294921875,1729265894.4204745
15500,1262.5833740234375,1729265899.4512734
16000,1262.5833740234375,1729265904.419087
16500,1249.5384521484375,1729265909.3031235
17000,1249.5384521484375,1729265914.1882284
17500,1238.142822265625,1729265919.112105
18000,1238.142822265625,1729265923.9049275
18500,1209.066650390625,1729265928.9912634
19000,1209.066650390625,1729265934.1560237
19500,1209.066650390625,1729265939.1698763
20000,1219.625,1729265944.1055622
20500,1219.625,1729265948.925248
21000,1219.625,1729265953.798176
21500,1219.625,1729265958.6620543
22000,1219.625,1729265963.5074415
22500,1219.625,1729265968.3991578
23000,1219.625,1729265973.3411994
23500,1219.625,1729265978.2276714
24000,1219.625,1729265983.0675154
24500,1415.176513671875,1729265988.1199524
25000,1415.176513671875,1729265993.0064871
25500,1415.176513671875,1729265998.5955718
26000,1415.176513671875,1729266003.500153
26500,1415.176513671875,1729266008.4323566
27000,1415.176513671875,1729266013.261421
27500,1415.176513671875,1729266018.0078099
28000,1415.176513671875,1729266023.0208614
28500,1415.176513671875,1729266027.8659704
29000,1589.5555419921875,1729266032.738367
29500,1533.1578369140625,1729266037.5102885
30000,1482.449951171875,1729266042.2521646
30500,1482.449951171875,1729266046.9697309
31000,1464.0,1729266051.8044288
31500,1464.0,1729266056.613019
32000,1447.272705078125,1729266061.4692736
32500,1447.272705078125,1729266066.2016196
33000,1419.0,1729266071.1275902
33500,1419.0,1729266075.9267
34000,1405.4583740234375,1729266081.2779276
34500,1405.4583740234375,1729266086.0125961
35000,1392.6800537109375,1729266090.9745688
35500,1392.6800537109375,1729266095.7022808
36000,1392.6800537109375,1729266100.3734126
36500,1392.6800537109375,1729266105.163055
37000,1392.6800537109375,1729266110.5458078
37500,1392.6800537109375,1729266116.0920405
38000,1392.6800537109375,1729266121.9662197
38500,1464.8077392578125,1729266129.2347367
39000,1429.888916015625,1729266137.0794203
39500,1429.888916015625,1729266141.939662
40000,1429.888916015625,1729266146.8294322
40500,1429.888916015625,1729266151.7303283
41000,1429.888916015625,1729266156.7418997
41500,1479.5357666015625,1729266161.8337376
42000,1441.5172119140625,1729266166.8601406
42500,1441.5172119140625,1729266171.757862
43000,1429.6666259765625,1729266176.7871747
43500,1429.6666259765625,1729266181.9977047
44000,1429.6666259765625,1729266187.0540006
44500,1429.6666259765625,1729266191.9728816
45000,1429.6666259765625,1729266196.8955956
45500,1429.6666259765625,1729266201.7427552
46000,1483.709716796875,1729266206.8370247
46500,1483.709716796875,1729266211.6479092
47000,1483.709716796875,1729266216.4765828
47500,1480.53125,1729266221.3979616
48000,1480.53125,1729266226.296194
48500,1468.939453125,1729266231.3953485
49000,1468.939453125,1729266236.2308662
49500,1449.4705810546875,1729266241.1944718
50000,1449.4705810546875,1729266246.283561
50500,1449.4705810546875,1729266251.1014085
51000,1449.4705810546875,1729266255.9757566
51500,1449.4705810546875,1729266260.674679
52000,1479.8857421875,1729266265.4742177
52500,1479.8857421875,1729266270.2286406
53000,1479.8857421875,1729266275.0398192
53500,1479.8857421875,1729266279.7705235
54000,1479.8857421875,1729266284.708711
54500,1479.8857421875,1729266289.5145247
55000,1479.8857421875,1729266294.358845
55500,1538.138916015625,1729266299.2374878
56000,1510.54052734375,1729266304.4178073
56500,1510.54052734375,1729266309.4266067
57000,1510.54052734375,1729266314.208467
57500,1510.54052734375,1729266319.0377758
58000,1510.54052734375,1729266324.043104
58500,1510.54052734375,1729266328.8121583
59000,1510.54052734375,1729266333.552105
59500,1510.54052734375,1729266338.2687926
60000,1510.54052734375,1729266342.989181
60500,1590.5526123046875,1729266347.9542842
61000,1590.5526123046875,1729266352.646189
61500,1576.923095703125,1729266357.435679
62000,1576.923095703125,1729266362.445264
62500,1550.25,1729266367.48469
63000,1550.25,1729266372.3377316
63500,1550.25,1729266377.1397865
64000,1550.25,1729266381.858419
64500,1550.25,1729266386.6215384
65000,1550.25,1729266391.3264158
65500,1550.25,1729266396.1229966
66000,1550.25,1729266401.008304
66500,1550.25,1729266405.8208787
67000,1623.219482421875,1729266410.77071
67500,1603.7142333984375,1729266415.6592946
68000,1578.44189453125,1729266420.5783818
68500,1578.44189453125,1729266425.5039585
69000,1560.75,1729266430.7134457
69500,1560.75,1729266435.5322633
70000,1560.75,1729266440.3245304
70500,1560.75,1729266445.0695422
71000,1560.75,1729266449.810304
71500,1560.75,1729266454.6284745
72000,1560.75,1729266459.4950302
72500,1560.75,1729266464.2303255
73000,1560.75,1729266468.9363942
73500,1627.0,1729266473.9516265
74000,1627.0,1729266478.6894763
74500,1609.2391357421875,1729266483.6893866
75000,1586.0850830078125,1729266488.8454525
75500,1586.0850830078125,1729266493.5555248
76000,1581.8125,1729266498.4749854
76500,1559.959228515625,1729266503.4019692
77000,1559.959228515625,1729266508.0855508
77500,1559.959228515625,1729266512.8339617
78000,1559.739990234375,1729266517.7131062
78500,1559.739990234375,1729266522.5039122
79000,1559.739990234375,1729266527.316882
79500,1559.739990234375,1729266532.1278017
80000,1536.7884521484375,1729266537.1903453
80500,1536.7884521484375,1729266541.9161136
81000,1536.7884521484375,1729266546.6895308
81500,1536.7884521484375,1729266551.9154975
82000,1536.7884521484375,1729266556.7187557
82500,1536.7884521484375,1729266561.4681158
83000,1536.7884521484375,1729266566.2209108
83500,1566.4150390625,1729266571.1429155
84000,1547.0185546875,1729266576.0487316
84500,1547.0185546875,1729266580.8005736
85000,1547.0185546875,1729266585.5623236
85500,1547.0185546875,1729266590.3200538
86000,1547.0185546875,1729266595.160092
86500,1547.0185546875,1729266599.9701028
87000,1547.0185546875,1729266605.141183
87500,1547.0185546875,1729266610.0882428
88000,1547.0185546875,1729266614.8367584
88500,1547.0185546875,1729266619.7348971
89000,1611.9454345703125,1729266624.6631358
89500,1597.5,1729266629.5177562
90000,1573.5438232421875,1729266634.58867
90500,1555.32763671875,1729266639.559797
91000,1537.6949462890625,1729266644.7267377
91500,1537.6949462890625,1729266649.54645
92000,1525.449951171875,1729266654.433641
92500,1525.449951171875,1729266659.22417
93000,1525.449951171875,1729266664.4507403
93500,1525.449951171875,1729266669.6364903
94000,1525.449951171875,1729266674.4004884
94500,1546.7705078125,1729266679.3874483
95000,1546.7705078125,1729266684.0316892
95500,1546.7705078125,1729266688.4765923
96000,1546.7705078125,1729266692.8933299
96500,1546.7705078125,1729266697.3168132
97000,1546.7705078125,1729266701.729215
97500,1572.01611328125,1729266706.5310879
98000,1572.01611328125,1729266710.939364
98500,1572.01611328125,1729266715.386763
99000,1572.01611328125,1729266720.1317568
99500,1572.01611328125,1729266724.7754924
100000,1572.01611328125,1729266729.294168
100500,1572.01611328125,1729266733.8072886
101000,1596.4920654296875,1729266738.4219463
101500,1596.4920654296875,1729266742.8513696
102000,1596.4920654296875,1729266747.5660665
102500,1596.4920654296875,1729266751.969481
103000,1596.4920654296875,1729266756.4019926
103500,1611.109375,1729266760.9497344
104000,1598.6307373046875,1729266765.5626042
104500,1598.6307373046875,1729266770.0519376
105000,1598.6307373046875,1729266774.4970553
105500,1590.9697265625,1729266779.0225255
106000,1557.3382568359375,1729266783.7896073
106500,1542.3623046875,1729266788.5748005
107000,1542.3623046875,1729266793.1017056
107500,1542.3623046875,1729266797.6926153
108000,1542.3623046875,1729266802.2297797
108500,1542.3623046875,1729266806.7737558
109000,1554.971435546875,1729266811.2895632
109500,1519.02783203125,1729266816.0002823
110000,1519.02783203125,1729266820.358582
110500,1519.02783203125,1729266824.7600248
111000,1519.02783203125,1729266829.1734624
111500,1519.02783203125,1729266833.6256182
112000,1519.02783203125,1729266838.1053548
112500,1519.02783203125,1729266842.5443068
113000,1519.02783203125,1729266846.983237
113500,1519.02783203125,1729266851.4079506
114000,1519.02783203125,1729266856.0728462
114500,1567.0,1729266860.7623663
115000,1567.0,1729266865.1764562
115500,1567.0,1729266869.6760979
116000,1567.0,1729266874.0674841
116500,1572.351318359375,1729266878.6431127
117000,1558.2933349609375,1729266883.1728442
117500,1558.2933349609375,1729266887.622485
118000,1552.144775390625,1729266892.2790048
118500,1552.144775390625,1729266896.6693668
119000,1542.48046875,1729266901.1646438
119500,1542.48046875,1729266905.753001
