step,value,wall_time
3000,2821.0,1729425678.3974266
3500,1668.0,1729425683.1884274
4000,1668.0,1729425687.734428
4500,1475.6666259765625,1729425692.6179616
5000,1475.6666259765625,1729425698.6726336
5500,1475.6666259765625,1729425704.1246336
6000,1475.6666259765625,1729425709.5266316
6500,1475.6666259765625,1729425714.8756325
7000,1739.75,1729425719.945634
7500,1494.4000244140625,1729425725.2841449
8000,1494.4000244140625,1729425730.4141443
8500,1494.4000244140625,1729425735.4511445
9000,1427.6666259765625,1729425741.3481445
9500,1427.6666259765625,1729425746.3741448
10000,1427.6666259765625,1729425751.2691429
10500,1427.6666259765625,1729425756.3061454
11000,1427.6666259765625,1729425761.2801447
11500,1585.4285888671875,1729425766.5271447
12000,1585.4285888671875,1729425771.2961452
12500,1560.625,1729425776.9261432
13000,1560.625,1729425781.5001433
13500,1560.625,1729425786.0191429
14000,1560.625,1729425790.5361426
14500,1559.3333740234375,1729425795.234144
15000,1454.800048828125,1729425799.9731438
15500,1454.800048828125,1729425804.5981438
16000,1411.272705078125,1729425809.3081436
16500,1336.75,1729425813.9911435
17000,1336.75,1729425818.5501435
17500,1336.75,1729425823.071143
18000,1336.75,1729425827.5941448
18500,1336.75,1729425832.1251426
19000,1336.75,1729425836.699144
19500,1336.75,1729425841.2451434
20000,1336.75,1729425845.7711442
20500,1336.75,1729425850.313145
21000,1606.230712890625,1729425855.2331436
21500,1528.5,1729425859.9091444
22000,1528.5,1729425864.4271424
22500,1480.0,1729425869.122144
23000,1419.875,1729425873.8271446
23500,1419.875,1729425878.3571439
24000,1400.2940673828125,1729425883.0541446
24500,1400.2940673828125,1729425887.579145
25000,1383.27783203125,1729425892.2771437
25500,1383.27783203125,1729425896.8111434
26000,1383.27783203125,1729425901.3401449
26500,1383.0526123046875,1729425906.0441432
27000,1383.0526123046875,1729425910.6111445
27500,1368.699951171875,1729425915.2951446
28000,1368.699951171875,1729425919.8131428
28500,1368.699951171875,1729425924.3391435
29000,1369.5714111328125,1729425929.0261445
29500,1369.5714111328125,1729425933.5921454
30000,1369.5714111328125,1729425938.1251452
30500,1369.5714111328125,1729425942.6411436
31000,1369.5714111328125,1729425947.1621435
31500,1369.5714111328125,1729425951.7201426
32000,1369.5714111328125,1729425956.2671437
32500,1369.5714111328125,1729425960.7901428
33000,1369.5714111328125,1729425965.3151424
33500,1369.5714111328125,1729425969.8911445
34000,1369.5714111328125,1729425974.3921442
34500,1553.6363525390625,1729425979.3471432
35000,1553.6363525390625,1729425983.890143
35500,1553.6363525390625,1729425988.453143
36000,1553.6363525390625,1729425992.9791443
36500,1553.6363525390625,1729425997.5351436
37000,1553.6363525390625,1729426002.0791426
37500,1553.6363525390625,1729426006.6671445
38000,1633.6956787109375,1729426011.3891437
38500,1587.125,1729426016.0651433
39000,1587.125,1729426020.6601427
39500,1567.280029296875,1729426025.3691432
40000,1526.8077392578125,1729426030.0611427
40500,1526.8077392578125,1729426034.5881443
41000,1526.8077392578125,1729426039.1691427
41500,1526.8077392578125,1729426043.8371446
42000,1526.8077392578125,1729426048.3741431
42500,1526.8077392578125,1729426052.8901448
43000,1526.8077392578125,1729426057.4631436
43500,1526.8077392578125,1729426061.9931428
44000,1526.8077392578125,1729426066.5971434
44500,1526.8077392578125,1729426071.1651435
45000,1526.8077392578125,1729426075.8111427
45500,1526.8077392578125,1729426080.3351433
46000,1526.8077392578125,1729426084.8691425
46500,1526.8077392578125,1729426089.3911457
47000,1730.4814453125,1729426094.2821481
47500,1730.4814453125,1729426098.8031452
48000,1705.142822265625,1729426103.4871442
48500,1664.2069091796875,1729426108.1661446
49000,1625.9666748046875,1729426112.8861425
49500,1625.9666748046875,1729426117.4411423
50000,1625.9666748046875,1729426121.9781444
50500,1625.9666748046875,1729426126.506144
51000,1625.9666748046875,1729426131.0711427
51500,1660.6129150390625,1729426135.7581427
52000,1660.6129150390625,1729426140.2731452
52500,1660.6129150390625,1729426144.7981448
53000,1660.6129150390625,1729426149.3811426
53500,1660.6129150390625,1729426153.9231436
54000,1660.6129150390625,1729426158.468143
54500,1693.0625,1729426163.1401436
55000,1693.0625,1729426167.7081442
55500,1674.727294921875,1729426172.4131432
56000,1674.727294921875,1729426176.948144
56500,1657.5294189453125,1729426181.7241428
57000,1625.028564453125,1729426186.4131434
57500,1625.028564453125,1729426190.940143
58000,1625.028564453125,1729426195.6321435
58500,1625.028564453125,1729426200.4261446
59000,1626.138916015625,1729426205.6161435
59500,1603.9189453125,1729426210.2491434
60000,1603.9189453125,1729426214.7611427
60500,1603.9189453125,1729426219.3321447
61000,1603.9189453125,1729426223.8821425
61500,1603.9189453125,1729426228.4451432
62000,1628.4473876953125,1729426233.1501427
62500,1628.4473876953125,1729426237.6811423
63000,1611.205078125,1729426242.3711424
63500,1611.205078125,1729426246.9131434
64000,1611.205078125,1729426251.4731424
64500,1611.205078125,1729426255.9971445
65000,1611.205078125,1729426260.5151432
65500,1634.2249755859375,1729426265.1941445
66000,1607.048828125,1729426269.911143
66500,1607.048828125,1729426274.468145
67000,1587.90478515625,1729426279.1371434
67500,1562.9766845703125,1729426283.9321434
68000,1562.9766845703125,1729426288.4981434
68500,1552.3636474609375,1729426293.1941435
69000,1529.4000244140625,1729426297.8401423
69500,1529.4000244140625,1729426302.3911433
70000,1529.4000244140625,1729426307.0391626
70500,1529.4000244140625,1729426311.5931628
71000,1529.4000244140625,1729426316.1091638
71500,1551.1956787109375,1729426320.7781634
72000,1551.1956787109375,1729426325.342162
72500,1535.425537109375,1729426330.0291631
73000,1535.425537109375,1729426334.558164
73500,1526.2916259765625,1729426339.224162
74000,1508.959228515625,1729426343.969163
74500,1508.959228515625,1729426348.4991627
