step,value,wall_time
1500,369.47869873046875,1729415475.2419102
2000,273.8205871582031,1729415492.3719122
2500,240.14688110351562,1729415509.7439098
3000,240.14688110351562,1729415526.1019092
3500,273.5570983886719,1729415543.209909
4000,253.59840393066406,1729415559.5159106
4500,253.59840393066406,1729415576.3429108
5000,253.59840393066406,1729415592.5879114
5500,288.3457336425781,1729415609.8209085
6000,288.3457336425781,1729415626.2079105
6500,288.3457336425781,1729415642.85791
7000,288.3457336425781,1729415659.456911
7500,288.3457336425781,1729415675.8779109
8000,288.3457336425781,1729415692.6539109
8500,288.3457336425781,1729415708.8649106
9000,417.6777038574219,1729415726.0389087
9500,388.1328430175781,1729415742.4759095
10000,364.3815002441406,1729415759.472909
10500,364.3815002441406,1729415775.7619085
11000,364.3815002441406,1729415792.5189118
11500,370.4941711425781,1729415809.302909
12000,352.31732177734375,1729415825.9099092
12500,352.31732177734375,1729415842.6719093
13000,356.84161376953125,1729415859.1029084
13500,356.84161376953125,1729415875.90191
14000,355.0901794433594,1729415892.2309089
14500,355.0901794433594,1729415909.00391
15000,355.0901794433594,1729415925.3739114
15500,355.0901794433594,1729415942.0789104
16000,355.0901794433594,1729415958.662911
16500,355.0901794433594,1729415975.1819088
17000,355.0901794433594,1729415992.1459112
17500,407.347412109375,1729416008.5519094
18000,407.347412109375,1729416025.3449106
18500,401.1431884765625,1729416041.6939106
19000,387.15667724609375,1729416058.6189084
19500,387.15667724609375,1729416074.884909
20000,387.15667724609375,1729416091.6629102
20500,387.15667724609375,1729416108.132911
21000,387.15667724609375,1729416124.784909
21500,417.0603942871094,1729416141.6559117
22000,417.0603942871094,1729416157.8619106
22500,417.0603942871094,1729416174.655909
23000,417.0603942871094,1729416190.9159086
23500,417.0603942871094,1729416207.7109106
24000,417.0603942871094,1729416223.9419105
24500,417.0603942871094,1729416240.7519085
25000,455.74359130859375,1729416257.4089108
25500,455.74359130859375,1729416273.9409106
26000,451.4615478515625,1729416290.7499108
26500,451.4615478515625,1729416307.7129107
27000,446.7994689941406,1729416324.3409085
27500,446.7994689941406,1729416340.661909
28000,438.32940673828125,1729416357.1449099
28500,438.32940673828125,1729416373.4169106
29000,439.0708923339844,1729416389.9009082
29500,439.0708923339844,1729416406.1309085
30000,439.0708923339844,1729416422.3929105
30500,439.0708923339844,1729416439.5701904
31000,439.0708923339844,1729416457.3651934
31500,456.2764587402344,1729416475.3871925
32000,444.36383056640625,1729416492.2681923
32500,444.36383056640625,1729416508.518191
33000,437.5863952636719,1729416524.9141927
33500,437.5863952636719,1729416541.086193
34000,434.0494384765625,1729416557.4301913
34500,434.0494384765625,1729416573.6581917
35000,434.0494384765625,1729416589.8921924
35500,434.0494384765625,1729416606.1481905
36000,434.0494384765625,1729416622.5671928
36500,445.6521301269531,1729416638.910193
37000,445.6521301269531,1729416655.1041908
37500,445.6521301269531,1729416671.3431919
38000,445.6521301269531,1729416687.5781913
38500,445.6521301269531,1729416703.8711903
39000,462.728271484375,1729416720.3521905
39500,452.7655334472656,1729416736.7201917
40000,452.7655334472656,1729416753.0141926
40500,445.2438049316406,1729416769.3951902
41000,438.2957458496094,1729416785.7731905
