step,value,wall_time
1000,265.68548583984375,1729425566.8942857
1500,265.68548583984375,1729425575.4730186
2000,265.68548583984375,1729425584.1125464
2500,265.68548583984375,1729425592.7463849
3000,265.68548583984375,1729425601.458305
3500,265.68548583984375,1729425610.805717
4000,426.9252014160156,1729425620.2948244
4500,426.9252014160156,1729425629.2901258
5000,389.8348388671875,1729425638.3615255
5500,347.3092346191406,1729425647.4456644
6000,347.3092346191406,1729425656.2113965
6500,356.6753234863281,1729425666.1043196
7000,356.6753234863281,1729425674.9037492
7500,356.6753234863281,1729425683.8985944
8000,363.80865478515625,1729425693.0475094
8500,338.8975524902344,1729425701.898456
9000,338.8975524902344,1729425710.7857447
9500,338.8975524902344,1729425719.636702
10000,338.8975524902344,1729425728.5346103
10500,338.8975524902344,1729425737.4558127
11000,406.51708984375,1729425746.353001
11500,383.2463073730469,1729425755.4064226
12000,383.2463073730469,1729425764.3163922
12500,383.2463073730469,1729425773.2460158
13000,383.2463073730469,1729425782.2179048
13500,383.2463073730469,1729425791.0812998
14000,383.2463073730469,1729425800.0924246
14500,432.4520568847656,1729425809.3338377
15000,432.4520568847656,1729425818.2701423
15500,422.7601623535156,1729425827.3317535
16000,422.7601623535156,1729425836.2416735
16500,417.4310302734375,1729425845.4313374
17000,417.4310302734375,1729425854.4113145
17500,413.133544921875,1729425863.4189117
18000,413.133544921875,1729425872.5526357
18500,403.85009765625,1729425881.794946
19000,403.85009765625,1729425890.6718218
19500,403.85009765625,1729425899.544018
20000,407.4895935058594,1729425909.0337207
20500,407.4895935058594,1729425917.993285
21000,407.4895935058594,1729425926.8835697
21500,407.4895935058594,1729425935.7315528
22000,407.4895935058594,1729425944.6033404
22500,407.4895935058594,1729425953.387579
23000,407.4895935058594,1729425962.5626674
23500,407.4895935058594,1729425971.5896816
24000,407.4895935058594,1729425980.4974346
24500,472.6434631347656,1729425989.6835687
25000,472.6434631347656,1729425998.5489626
25500,472.6434631347656,1729426007.660022
26000,472.6434631347656,1729426016.5515015
26500,472.6434631347656,1729426025.4621205
27000,472.6434631347656,1729426034.4001331
27500,472.6434631347656,1729426043.254524
28000,472.6434631347656,1729426052.5317788
28500,472.6434631347656,1729426061.523214
29000,529.06201171875,1729426070.7779639
29500,510.19354248046875,1729426079.9932046
30000,493.6315612792969,1729426088.8823574
30500,493.6315612792969,1729426097.6200943
31000,487.3982238769531,1729426106.453324
31500,487.3982238769531,1729426115.279732
32000,481.1775207519531,1729426124.0659635
32500,481.1775207519531,1729426132.6833966
33000,471.68316650390625,1729426141.4893956
