step,value,wall_time
1000,265.68548583984375,1729265734.6448586
1500,265.68548583984375,1729265740.746568
2000,265.68548583984375,1729265746.8953683
2500,265.68548583984375,1729265753.2520428
3000,265.68548583984375,1729265759.597253
3500,265.68548583984375,1729265765.72956
4000,426.9252014160156,1729265772.3041685
4500,426.9252014160156,1729265778.2888849
5000,389.8348388671875,1729265784.696154
5500,347.3092346191406,1729265791.0040011
6000,347.3092346191406,1729265797.1546307
6500,356.6753234863281,1729265803.2531772
7000,356.6753234863281,1729265809.4010916
7500,356.6753234863281,1729265815.603025
8000,363.80865478515625,1729265822.8190172
8500,338.8975524902344,1729265829.3198009
9000,338.8975524902344,1729265834.6831439
9500,338.8975524902344,1729265839.667576
10000,338.8975524902344,1729265844.6511984
10500,338.8975524902344,1729265849.517192
11000,406.51708984375,1729265854.6478097
11500,383.2463073730469,1729265859.555766
12000,383.2463073730469,1729265864.275457
12500,383.2463073730469,1729265869.0126183
13000,383.2463073730469,1729265873.8233585
13500,383.2463073730469,1729265878.8993628
14000,383.2463073730469,1729265884.7025898
14500,432.4520568847656,1729265889.630588
15000,432.4520568847656,1729265894.420589
15500,422.7601623535156,1729265899.4513993
16000,422.7601623535156,1729265904.419202
16500,417.4310302734375,1729265909.3032413
17000,417.4310302734375,1729265914.1883454
17500,413.133544921875,1729265919.1122224
18000,413.133544921875,1729265923.9050283
18500,403.85009765625,1729265928.9913638
19000,403.85009765625,1729265934.1561284
19500,403.85009765625,1729265939.1699936
20000,407.4895935058594,1729265944.10566
20500,407.4895935058594,1729265948.9254038
21000,407.4895935058594,1729265953.7982957
21500,407.4895935058594,1729265958.6621723
22000,407.4895935058594,1729265963.5075738
22500,407.4895935058594,1729265968.3992898
23000,407.4895935058594,1729265973.3413157
23500,407.4895935058594,1729265978.2277927
24000,407.4895935058594,1729265983.0676234
24500,472.6434631347656,1729265988.1200686
25000,472.6434631347656,1729265993.0066173
25500,472.6434631347656,1729265998.5956802
26000,472.6434631347656,1729266003.500267
26500,472.6434631347656,1729266008.432491
27000,472.6434631347656,1729266013.261518
27500,472.6434631347656,1729266018.007936
28000,472.6434631347656,1729266023.0209887
28500,472.6434631347656,1729266027.8661027
29000,529.06201171875,1729266032.7385688
29500,510.19354248046875,1729266037.5103862
30000,493.6315612792969,1729266042.252275
30500,493.6315612792969,1729266046.9698505
31000,487.3982238769531,1729266051.8045332
31500,487.3982238769531,1729266056.613162
32000,481.1775207519531,1729266061.4693866
32500,481.1775207519531,1729266066.2017372
33000,471.68316650390625,1729266071.1277783
33500,471.68316650390625,1729266075.9268248
34000,467.23956298828125,1729266081.2780755
34500,467.23956298828125,1729266086.0127048
35000,462.91259765625,1729266090.9747317
35500,462.91259765625,1729266095.7024066
36000,462.91259765625,1729266100.373552
36500,462.91259765625,1729266105.1631815
37000,462.91259765625,1729266110.5459208
37500,462.91259765625,1729266116.092222
38000,462.91259765625,1729266121.96634
38500,486.980224609375,1729266129.2351112
39000,475.73504638671875,1729266137.079537
39500,475.73504638671875,1729266141.9397757
40000,475.73504638671875,1729266146.829538
40500,475.73504638671875,1729266151.7304685
41000,475.73504638671875,1729266156.7420194
41500,491.896728515625,1729266161.8339036
42000,479.4523010253906,1729266166.8602424
42500,479.4523010253906,1729266171.757995
43000,475.7604064941406,1729266176.7872827
43500,475.7604064941406,1729266181.9978676
44000,475.7604064941406,1729266187.0541365
44500,475.7604064941406,1729266191.9729974
45000,475.7604064941406,1729266196.895711
45500,475.7604064941406,1729266201.7428644
46000,493.9794921875,1729266206.8371162
46500,493.9794921875,1729266211.6480093
47000,493.9794921875,1729266216.4767148
47500,492.4508361816406,1729266221.398076
48000,492.4508361816406,1729266226.296299
48500,488.7032775878906,1729266231.395448
49000,488.7032775878906,1729266236.2309902
49500,482.5978698730469,1729266241.1946366
50000,482.5978698730469,1729266246.2836952
50500,482.5978698730469,1729266251.101527
51000,482.5978698730469,1729266255.9758718
51500,482.5978698730469,1729266260.6747897
52000,492.62188720703125,1729266265.4743378
52500,492.62188720703125,1729266270.2287467
53000,492.62188720703125,1729266275.0399506
53500,492.62188720703125,1729266279.7706394
54000,492.62188720703125,1729266284.7088392
54500,492.62188720703125,1729266289.5146434
55000,492.62188720703125,1729266294.3589575
55500,511.28375244140625,1729266299.2376063
56000,502.1586608886719,1729266304.4179022
56500,502.1586608886719,1729266309.4267397
57000,502.1586608886719,1729266314.2085803
57500,502.1586608886719,1729266319.0378864
58000,502.1586608886719,1729266324.0432239
58500,502.1586608886719,1729266328.8122745
59000,502.1586608886719,1729266333.5522125
59500,502.1586608886719,1729266338.268916
60000,502.1586608886719,1729266342.9892821
60500,528.9031372070312,1729266347.9544222
61000,528.9031372070312,1729266352.6462839
61500,524.2286376953125,1729266357.4358273
62000,524.2286376953125,1729266362.445391
